Cohort	scRNA_ID	GenotypeID	Covariate_ID	Notes
ROSMAP	ROS13	R8744945	R8744945	
ROSMAP	ROS45	R9426782	R9426782	
ROSMAP	ROS14		R9307768	No genotype
ROSMAP	ROS38	R8608442	R8608442	
ROSMAP	ROS1	R2880377	R2880377	
ROSMAP	ROS34	R7944883	R7944883	
ROSMAP	ROS15	R4439627	R4439627	
ROSMAP	ROS37	R4146432	R4146432	
ROSMAP	ROS2	R4739508	R4739508	
ROSMAP	ROS32	R9094222	R9094222	
ROSMAP	ROS3	R8725848	R8725848	
ROSMAP	ROS29	R3177264	R3177264	
ROSMAP	ROS16	ROS10536568	R7721691	
ROSMAP	ROS41	R2895885	R2895885	
ROSMAP	ROS17	ROS10288185	R4689636	
ROSMAP	ROS43	R6114572	R6114572	
ROSMAP	ROS4	R4567280	R4567280	
ROSMAP	ROS33	R8629052	R8629052	
ROSMAP	ROS18	ROS11342432	R4728676	
ROSMAP	ROS39	R4379962	R4379962	
ROSMAP	ROS5	R7288382	R7288382	
ROSMAP	ROS25	R2830542	R2830542	
ROSMAP	ROS6	R4482444	R4482444	
ROSMAP	ROS31	R7770387	R7770387	
ROSMAP	ROS11	R9113571	R9113571	
ROSMAP	ROS26	R4042599	R4042599	
ROSMAP	ROS12	R1067972	R1067972	
ROSMAP	ROS35	11AD39941	R1538032	
ROSMAP	ROS19	R5816648	R5816648	
ROSMAP	ROS44	R3086211	R3086211	
ROSMAP	ROS7	ROS20149910	R3405776	
ROSMAP	ROS36	R5885245	R5885245	
ROSMAP	ROS8	R6176158	R6176158	
ROSMAP	ROS30	R4258320	R4258320	
ROSMAP	ROS20	R9551808	R9551808	
ROSMAP	ROS48		R9500594	No genotype
ROSMAP	ROS9	R4415805	R4415805	
ROSMAP	ROS28	R7160627	R7160627	
ROSMAP	ROS21	R2081705	R2081705	
ROSMAP	ROS42	R8451530	R8451530	
ROSMAP	ROS22	R4012015	R4012015	
ROSMAP	ROS46		R4262244	No genotype
ROSMAP	ROS27	R3884524	R3884524	
ROSMAP	ROS47	ROS11159965	R2294544	
ROSMAP	ROS24	R5196723	R5196723	
ROSMAP	ROS40	R3900996	R3900996	
UCLA-ASD	1185	1185	1185	
UCLA-ASD	1743	1743	1743	
UCLA-ASD	5023	5023	5023	
UCLA-ASD	5302	UMB5302	5302	Part of Gandal dataset
UCLA-ASD	5308	5308	5308	
UCLA-ASD	5391	5391	5391	
UCLA-ASD	5408	5408	5408	
UCLA-ASD	5576	5576	5576	
UCLA-ASD	5670	5670	5670	
UCLA-ASD	5925	5925	5925	Genotype not processed yet
UCLA-ASD	285A	285A	285A	
UCLA-ASD	2GGP	2GGP	2GGP	
UCLA-ASD	2NA6	2NA6	2NA6	
UCLA-ASD	2YK7	2YK7	2YK7	
UCLA-ASD	35BV	35BV	35BV	
UCLA-ASD	3HUF	3HUF	3HUF	
UCLA-ASD	75QW	75QW	75QW	
UCLA-ASD	8XCF	8XCF	8XCF	
UCLA-ASD	AN00493	AN00493	AN00493	
UCLA-ASD	AN03345	AN03345	AN03345	
UCLA-ASD	AN03935	AN03935	AN03935	
UCLA-ASD	AN05983	AN05983	AN05983	
UCLA-ASD	AN07176	AN07176	AN07176	
UCLA-ASD	AN07444	AN07444	AN07444	
UCLA-ASD	AN08792	AN08792	AN08792	
UCLA-ASD	AN09714	AN09714	AN09714	
UCLA-ASD	AN10679	AN10679	AN10679	
UCLA-ASD	AN12457	AN12457	AN12457	
UCLA-ASD	AN14762	AN14762-CBL	AN14762	
UCLA-ASD	AN15451	AN15451	AN15451	
UCLA-ASD	AN19511	AN19511-CTX-BA41	AN19511	
UCLA-ASD	AN19760	AN19760	AN19760	
UCLA-ASD	E4FN	E4FN	E4FN	
UCLA-ASD	EUFW	EUFW	EUFW	
UCLA-ASD	FHN9	FHN9	FHN9	
UCLA-ASD	FXMN	FXMN	FXMN	
UCLA-ASD	G7YU	G7YU	G7YU	
UCLA-ASD	HctZGA002	HctZGA002	HctZGA002	Genotype not processed yet
UCLA-ASD	HQ4T	HQ4T	HQ4T	
UCLA-ASD	JU7U		JU7U	No genotype
UCLA-ASD	KMC3	KMC3	KMC3	
UCLA-ASD	M9H3	M9H3	M9H3	
UCLA-ASD	NEPX	NEPX	NEPX	
UCLA-ASD	PA38	PA38	PA38	
UCLA-ASD	PH2A	PH2A	PH2A	
UCLA-ASD	PZ65	PZ65	PZ65	
UCLA-ASD	U8DM	U8DM	U8DM	
UCLA-ASD	4787	UMB4787	4787	
UCLA-ASD	5144	UMB5144	5144	
UCLA-ASD	5297	UMB5297	5297	Duplicate w/ DevBrain HSB378
UCLA-ASD	UPIT13161	UPIT13161	UPIT13161	
UCLA-ASD	UPIT3152	UPIT3152	UPIT3152	
UCLA-ASD	WBYA	WBYA	WBYA	
Kreigstein	5144_PFC_Nova	SRR9273193	5144_PFC_Nova	
Kreigstein	5278_PFC_Nova	SRR9273194	5278_PFC_Nova	
Kreigstein	5294_BA9	SRR9273201	5294_BA9	
Kreigstein	5403_PFC_Nova	SRR9273192	5403_PFC_Nova	
Kreigstein	5419_PFC	SRR9273191	5419_PFC	
Kreigstein	5531_BA9	SRR9273202	5531_BA9	
Kreigstein	5565_BA9	SRR9273199	5565_BA9	
Kreigstein	5841_BA9	SRR9273200	5841_BA9	
Kreigstein	5864_BA9	SRR9273186	5864_BA9	
Kreigstein	5939_BA9	SRR9273185	5939_BA9	
Kreigstein	5945_PFC_Nova	SRR9273190	5945_PFC_Nova	
Kreigstein	5978_BA9	SRR9273188	5978_BA9	
Kreigstein	6033_BA9	SRR9273187	6033_BA9	
Kreigstein	4341_BA46		4341_BA46	No genotype
Kreigstein	5387_BA9		5387_BA9	No genotype
